T1,T2,S1,S2,A_FT1,A_FT2,A_G,A_W,A_D,A_L,A_GP,A_GM,A_GD,A_P2PA,A_P2PB,A_Perc,A_PP,A_P3P,B_FT1,B_FT2,B_G,B_W,B_D,B_L,B_GP,B_GM,B_GD,B_P2PA,B_P2PB,B_Perc,B_PP,B_P3P
Latvia,Liechtenstein,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Turkey,Andorra,2,0,2,-3,10,5,1,4,20,17,3,11,9,550,15,16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Lithuania,Slovakia,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,-1,4,1,1,2,5,7,-2,3,5,375,4,4
Azerbaijan,Luxembourg,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Austria,Faroe Islands,6,0,7,-4,29,12,4,13,43,47,-4,28,30,483,28,40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Montenegro,Moldova,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Denmark,Czech Republic,3,0,4,-1,16,8,2,6,27,24,3,18,14,563,23,26,9,-2,33,12,5,16,47,49,-2,29,37,439,30,41
Netherlands,Estonia,3,0,10,3,50,27,11,12,86,48,38,65,35,650,84,92,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Romania,Hungary,2,2,7,-4,21,8,5,8,30,32,-2,21,21,500,26,29,9,-7,32,15,3,14,87,57,30,33,31,516,33,48
Spain,Finland,1,1,14,10,59,29,12,18,92,66,26,70,48,593,86,99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Sweden,Rep. of Ireland,0,0,11,-2,46,16,13,17,74,69,5,45,47,489,50,61,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Greece,Bosnia & Herzegovina,1,3,3,2,10,2,2,6,5,20,-15,6,14,300,8,8,1,1,3,1,0,2,4,4,0,2,4,333,3,3
Poland,Ukraine,1,3,7,-2,31,15,5,11,44,40,4,35,27,565,37,50,1,-2,5,2,1,2,5,7,-2,5,5,500,7,7
Macedonia,Belgium,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12,1,41,14,9,18,52,66,-14,37,45,451,44,51
England,San Marino,8,0,14,5,62,26,19,17,79,56,23,71,53,573,79,97,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Georgia,France,1,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14,5,59,29,11,19,106,71,35,69,49,585,83,98
Scotland,Wales,1,2,8,-4,23,4,7,12,25,41,-16,15,31,326,15,19,1,-14,5,1,3,1,4,4,0,5,5,500,5,6
Switzerland,Cyprus,0,0,10,3,33,11,6,16,45,59,-14,28,38,424,34,39,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brazil,Russia,1,1,20,20,104,71,16,17,221,102,119,158,50,760,185,229,10,1,40,17,8,15,66,47,19,42,38,525,44,59
Canada,Belarus,0,2,1,-7,3,0,0,3,0,5,-5,0,6,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Armenia,Czech Republic,0,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9,-2,33,12,5,16,47,49,-2,29,37,439,30,41
Azerbaijan,Portugal,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6,4,26,13,4,9,43,29,14,30,22,577,37,43
Andorra,Estonia,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Hungary,Turkey,1,1,9,-7,32,15,3,14,87,57,30,33,31,516,33,48,2,-3,10,5,1,4,20,17,3,11,9,550,15,16
Finland,Luxembourg,3,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ukraine,Moldova,2,1,1,-2,5,2,1,2,5,7,-2,5,5,500,7,7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Albania,Lithuania,4,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Scotland,Serbia,0,2,8,-4,23,4,7,12,25,41,-16,15,31,326,15,19,11,-1,43,17,8,18,64,59,5,42,44,488,45,59
Romania,Netherlands,0,4,7,-4,21,8,5,8,30,32,-2,21,21,500,26,29,10,3,50,27,11,12,86,48,38,65,35,650,84,92
Bulgaria,Denmark,1,1,7,-4,26,3,8,15,22,53,-31,14,38,269,17,17,4,-1,16,8,2,6,27,24,3,18,14,563,23,26
Slovakia,Sweden,0,0,1,-1,4,1,1,2,5,7,-2,3,5,375,4,4,11,-2,46,16,13,17,74,69,5,45,47,489,50,61
Montenegro,England,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14,5,62,26,19,17,79,56,23,71,53,573,79,97
Spain,France,1,0,14,10,59,29,12,18,92,66,26,70,48,593,86,99,14,5,59,29,11,19,106,71,35,69,49,585,83,98
Rep. of Ireland,Austria,2,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7,-4,29,12,4,13,43,47,-4,28,30,483,28,40
San Marino,Poland,0,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7,-2,31,15,5,11,44,40,4,35,27,565,37,50
Belgium,Macedonia,1,0,12,1,41,14,9,18,52,66,-14,37,45,451,44,51,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Wales,Croatia,1,2,1,-14,5,1,3,1,4,4,0,5,5,500,5,6,4,1,16,7,2,7,21,17,4,16,16,500,23,23
Israel,North. Ireland,2,0,1,-11,3,0,2,1,1,3,-2,2,4,333,2,2,3,-7,13,3,5,5,13,23,-10,11,15,423,11,14
Italy,Malta,2,0,18,14,83,45,20,18,128,77,51,110,56,663,124,155,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Kazakhstan,Germany,1,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18,16,106,66,20,20,224,121,103,152,60,717,179,218
Latvia,Qatar,1,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Latvia,Turkey,3,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,-3,10,5,1,4,20,17,3,11,9,550,15,16
Azerbaijan,Qatar,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Germany,Ecuador,4,2,18,16,106,66,20,20,224,121,103,152,60,717,179,218,3,1,10,4,1,5,10,11,-1,9,11,450,13,13
England,Rep. of Ireland,1,1,14,5,62,26,19,17,79,56,23,71,53,573,79,97,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
United States,Belgium,2,4,10,7,33,8,6,19,37,62,-25,22,44,333,27,30,12,1,41,14,9,18,52,66,-14,37,45,451,44,51
Japan,Bulgaria,0,2,5,5,17,4,4,9,14,22,-8,12,22,353,16,16,7,-4,26,3,8,15,22,53,-31,14,38,269,17,17
Turkey,Slovenia,0,2,2,-3,10,5,1,4,20,17,3,11,9,550,15,16,2,-1,6,1,1,4,5,10,-5,3,9,250,4,4
Italy,San Marino,4,0,18,14,83,45,20,18,128,77,51,110,56,663,124,155,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Rep. of Ireland,Georgia,4,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cameroon,Ukraine,0,0,7,2,23,4,7,12,18,43,-25,15,31,326,16,19,1,-2,5,2,1,2,5,7,-2,5,5,500,7,7
Germany,United States,3,4,18,16,106,66,20,20,224,121,103,152,60,717,179,218,10,7,33,8,6,19,37,62,-25,22,44,333,27,30
England,Brazil,2,2,14,5,62,26,19,17,79,56,23,71,53,573,79,97,20,20,104,71,16,17,221,102,119,158,50,760,185,229
Israel,Honduras,2,0,1,-11,3,0,2,1,1,3,-2,2,4,333,2,2,3,2,9,0,3,6,3,14,-11,3,15,167,3,3
Belarus,Estonia,2,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Macedonia,Sweden,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11,-2,46,16,13,17,74,69,5,45,47,489,50,61
Kazakhstan,Bulgaria,1,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7,-4,26,3,8,15,22,53,-31,14,38,269,17,17
Romania,Trinidad & Tobago,4,0,7,-4,21,8,5,8,30,32,-2,21,21,500,26,29,1,-2,3,0,1,2,0,4,-4,1,5,167,1,1
Liechtenstein,Poland,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7,-2,31,15,5,11,44,40,4,35,27,565,37,50
Georgia,Denmark,1,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,-1,16,8,2,6,27,24,3,18,14,563,23,26
Uruguay,France,1,0,12,2,51,20,12,19,80,71,9,52,50,510,57,72,14,5,59,29,11,19,106,71,35,69,49,585,83,98
Hungary,Kuwait,1,0,9,-7,32,15,3,14,87,57,30,33,31,516,33,48,1,-8,3,0,1,2,2,6,-4,1,5,167,1,1
Indonesia,Netherlands,0,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,3,50,27,11,12,86,48,38,65,35,650,84,92
Luxembourg,Azerbaijan,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Malta,Armenia,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belarus,Finland,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Latvia,Bosnia & Herzegovina,0,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,3,1,0,2,4,4,0,2,4,333,3,3
Estonia,Trinidad & Tobago,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,-2,3,0,1,2,0,4,-4,1,5,167,1,1
Slovakia,Liechtenstein,1,1,1,-1,4,1,1,2,5,7,-2,3,5,375,4,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Poland,Moldova,1,1,7,-2,31,15,5,11,44,40,4,35,27,565,37,50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Scotland,Croatia,1,0,8,-4,23,4,7,12,25,41,-16,15,31,326,15,19,4,1,16,7,2,7,21,17,4,16,16,500,23,23
Albania,Norway,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,-4,8,2,3,3,7,8,-1,7,9,438,9,9
Montenegro,Ukraine,0,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,-2,5,2,1,2,5,7,-2,5,5,500,7,7
Italy,Czech Republic,0,0,18,14,83,45,20,18,128,77,51,110,56,663,124,155,9,-2,33,12,5,16,47,49,-2,29,37,439,30,41
Rep. of Ireland,Faroe Islands,3,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Belgium,Serbia,2,1,12,1,41,14,9,18,52,66,-14,37,45,451,44,51,11,-1,43,17,8,18,64,59,5,42,44,488,45,59
Austria,Sweden,2,1,7,-4,29,12,4,13,43,47,-4,28,30,483,28,40,11,-2,46,16,13,17,74,69,5,45,47,489,50,61
Iceland,Slovenia,2,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,-1,6,1,1,4,5,10,-5,3,9,250,4,4
Greece,Lithuania,1,0,3,2,10,2,2,6,5,20,-15,6,14,300,8,8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Russia,Portugal,0,1,10,1,40,17,8,15,66,47,19,42,38,525,44,59,6,4,26,13,4,9,43,29,14,30,22,577,37,43
Cyprus,Switzerland,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,3,33,11,6,16,45,59,-14,28,38,424,34,39
Spain,Haiti,2,1,14,10,59,29,12,18,92,66,26,70,48,593,86,99,1,-10,3,0,0,3,2,14,-12,0,6,0,0,0
France,Brazil,0,3,14,5,59,29,11,19,106,71,35,69,49,585,83,98,20,20,104,71,16,17,221,102,119,158,50,760,185,229
Portugal,Croatia,1,0,6,4,26,13,4,9,43,29,14,30,22,577,37,43,4,1,16,7,2,7,21,17,4,16,16,500,23,23
China,Netherlands,0,2,1,-3,3,0,0,3,0,9,-9,0,6,0,0,0,10,3,50,27,11,12,86,48,38,65,35,650,84,92
Macedonia,Norway,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,-4,8,2,3,3,7,8,-1,7,9,438,9,9
Finland,Belarus,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Sweden,Faroe Islands,2,0,11,-2,46,16,13,17,74,69,5,45,47,489,50,61,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Kyrgyzstan,Estonia,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Denmark,Armenia,0,4,4,-1,16,8,2,6,27,24,3,18,14,563,23,26,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Italy,Haiti,2,2,18,14,83,45,20,18,128,77,51,110,56,663,124,155,1,-10,3,0,0,3,2,14,-12,0,6,0,0,0
Spain,Rep. of Ireland,2,0,14,10,59,29,12,18,92,66,26,70,48,593,86,99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Moldova,Kyrgyzstan,2,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Mexico,Italy,1,2,15,6,53,14,14,25,57,92,-35,42,64,396,50,56,18,14,83,45,20,18,128,77,51,110,56,663,124,155
Spain,Uruguay,2,1,14,10,59,29,12,18,92,66,26,70,48,593,86,99,12,2,51,20,12,19,80,71,9,52,50,510,57,72
Italy,Japan,4,3,18,14,83,45,20,18,128,77,51,110,56,663,124,155,5,5,17,4,4,9,14,22,-8,12,22,353,16,16
Spain,Tahiti,0,0,14,10,59,29,12,18,92,66,26,70,48,593,86,99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brazil,Italy,4,2,20,20,104,71,16,17,221,102,119,158,50,760,185,229,18,14,83,45,20,18,128,77,51,110,56,663,124,155
Spain,Nigeria,3,0,14,10,59,29,12,18,92,66,26,70,48,593,86,99,5,2,18,5,3,10,20,26,-6,13,23,361,18,18
Spain,Italy,0,0,14,10,59,29,12,18,92,66,26,70,48,593,86,99,18,14,83,45,20,18,128,77,51,110,56,663,124,155
Uruguay,Italy,2,2,12,2,51,20,12,19,80,71,9,52,50,510,57,72,18,14,83,45,20,18,128,77,51,110,56,663,124,155
Spain,Brazil,0,3,14,10,59,29,12,18,92,66,26,70,48,593,86,99,20,20,104,71,16,17,221,102,119,158,50,760,185,229
Georgia,Kazakhstan,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Montenegro,Belarus,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Estonia,Latvia,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Finland,Slovenia,2,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,-1,6,1,1,4,5,10,-5,3,9,250,4,4
Azerbaijan,Malta,3,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Andorra,Moldova,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Luxembourg,Lithuania,2,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Norway,Sweden,2,4,3,-4,8,2,3,3,7,8,-1,7,9,438,9,9,11,-2,46,16,13,17,74,69,5,45,47,489,50,61
Slovakia,Romania,1,1,1,-1,4,1,1,2,5,7,-2,3,5,375,4,4,7,-4,21,8,5,8,30,32,-2,21,21,500,26,29
Ukraine,Israel,2,0,1,-2,5,2,1,2,5,7,-2,5,5,500,7,7,1,-11,3,0,2,1,1,3,-2,2,4,333,2,2
Serbia,Colombia,0,1,11,-1,43,17,8,18,64,59,5,42,44,488,45,59,5,1,18,7,2,9,26,27,-1,16,20,444,22,23
Turkey,Ghana,2,2,2,-3,10,5,1,4,20,17,3,11,9,550,15,16,3,3,12,4,3,5,13,16,-3,11,13,458,15,15
Hungary,Czech Republic,1,1,9,-7,32,15,3,14,87,57,30,33,31,516,33,48,9,-2,33,12,5,16,47,49,-2,29,37,439,30,41
Greece,Austria,2,0,3,2,10,2,2,6,5,20,-15,6,14,300,8,8,7,-4,29,12,4,13,43,47,-4,28,30,483,28,40
Liechtenstein,Croatia,2,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,1,16,7,2,7,21,17,4,16,16,500,23,23
North. Ireland,Russia,1,0,3,-7,13,3,5,5,13,23,-10,11,15,423,11,14,10,1,40,17,8,15,66,47,19,42,38,525,44,59
United States,Bosnia & Herzegovina,4,3,10,7,33,8,6,19,37,62,-25,22,44,333,27,30,1,1,3,1,0,2,4,4,0,2,4,333,3,3
Belgium,France,0,0,12,1,41,14,9,18,52,66,-14,37,45,451,44,51,14,5,59,29,11,19,106,71,35,69,49,585,83,98
Scotland,England,2,3,8,-4,23,4,7,12,25,41,-16,15,31,326,15,19,14,5,62,26,19,17,79,56,23,71,53,573,79,97
Poland,Denmark,3,2,7,-2,31,15,5,11,44,40,4,35,27,565,37,50,4,-1,16,8,2,6,27,24,3,18,14,563,23,26
Brazil,Switzerland,0,1,20,20,104,71,16,17,221,102,119,158,50,760,185,229,10,3,33,11,6,16,45,59,-14,28,38,424,34,39
Germany,Paraguay,3,3,18,16,106,66,20,20,224,121,103,152,60,717,179,218,8,-1,27,7,10,10,30,38,-8,24,30,444,28,31
Rep. of Ireland,Wales,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,-14,5,1,3,1,4,4,0,5,5,500,5,6
Bulgaria,Macedonia,0,2,7,-4,26,3,8,15,22,53,-31,14,38,269,17,17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Albania,Armenia,2,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Italy,Argentina,1,2,18,14,83,45,20,18,128,77,51,110,56,663,124,155,16,11,77,43,13,21,131,84,47,99,55,643,118,142
Spain,Ecuador,2,0,14,10,59,29,12,18,92,66,26,70,48,593,86,99,3,1,10,4,1,5,10,11,-1,9,11,450,13,13
Faroe Islands,Iceland,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Portugal,Netherlands,1,1,6,4,26,13,4,9,43,29,14,30,22,577,37,43,10,3,50,27,11,12,86,48,38,65,35,650,84,92
Kazakhstan,Faroe Islands,2,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Luxembourg,Russia,1,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,1,40,17,8,15,66,47,19,42,38,525,44,59
Czech Republic,Armenia,1,2,9,-2,33,12,5,16,47,49,-2,29,37,439,30,41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
